0.34594,0.9236,0.10826,0.86132
0.25923,0.95223,0.11656,0.90605
0.88524,0.89086,0.071188,0.78381
0.36008,0.9489,0.095073,0.87694
0.63686,0.93867,0.076553,0.7992
0.76144,0.88587,0.063707,0.77231
0.58388,0.88993,0.10264,0.81193
0.27938,0.96804,0.10575,0.88366
0.58353,0.89507,0.093287,0.79965
0.31299,0.94932,0.12218,0.89902
0.39391,0.94547,0.081739,0.85839
0.53629,0.92003,0.072922,0.81243
0.45291,0.93981,0.097835,0.84707
0.75421,0.89102,0.079158,0.78284
0.43195,0.92792,0.098583,0.84061
0.44733,0.95392,0.091742,0.86415
0.25523,0.94618,0.14363,0.89069
0.35666,0.94737,0.13235,0.87694
0.39613,0.94761,0.17464,0.86642
0.74797,0.86297,0.076124,0.78215
0.21298,0.96598,0.11365,0.90237
0.18713,0.97403,0.10468,0.9155
0.65999,0.90487,0.067793,0.79675
0.4105,0.9581,0.075625,0.85549
0.32986,0.96197,0.15302,0.8849
0.80511,0.88339,0.061245,0.77867
0.53161,0.93613,0.088179,0.84752
0.21562,0.96601,0.11302,0.9074
0.46704,0.95233,0.076408,0.8396
0.53116,0.9262,0.10923,0.85099
0.58456,0.85664,0.092229,0.78859
1.3688,0.80998,0.046731,0.69428
0.39683,0.94117,0.12266,0.86606
0.62108,0.87794,0.11629,0.8593
0.61751,0.90649,0.073735,0.811
0.47852,0.92658,0.11267,0.85856
0.26897,0.95186,0.13142,0.90037
0.56921,0.90795,0.089601,0.82782
0.28836,0.95201,0.1448,0.89372
0.32051,0.9715,0.11894,0.88406
0.41525,0.95773,0.11255,0.87173
0.45469,0.95937,0.10131,0.86066
0.31092,0.94382,0.13906,0.88039
0.38766,0.96824,0.10709,0.88304
0.19635,0.98461,0.20051,0.94473
0.38979,0.92669,0.18461,0.88083
0.35395,0.92749,0.21796,0.89059
0.71069,0.91324,0.060003,0.78473
0.70359,0.8699,0.10917,0.82703
0.84638,0.88122,0.089888,0.80929
0.39473,0.94215,0.096779,0.86494
1.1131,0.84361,0.067863,0.73944
0.7768,0.89201,0.061982,0.7706
0.51517,0.92133,0.070481,0.82396
0.70722,0.92262,0.071814,0.80392
0.57451,0.92822,0.10701,0.83866
0.64898,0.9048,0.078547,0.79366
0.4692,0.93167,0.14169,0.8572
0.47576,0.91855,0.095784,0.83973
0.57687,0.92054,0.086199,0.81517
0.63202,0.90089,0.081954,0.80883
0.89893,0.84842,0.058616,0.74528
0.29005,0.96061,0.13077,0.89191
1.0396,0.90834,0.069078,0.79112
0.84126,0.90413,0.065657,0.77077
0.23195,0.9749,0.27298,0.93535
0.3516,0.94334,0.13978,0.88924
0.44869,0.91652,0.1026,0.8525
0.46966,0.92388,0.10209,0.85274
0.36088,0.93046,0.18472,0.88039
0.63997,0.84412,0.097452,0.79177
0.31517,0.94766,0.10103,0.88721
0.55461,0.92347,0.079778,0.81973
